site_id,site_name,latitude,longitude,region,habitat_type,sediment_type,carbon_density_gCm2,sequestration_rate_gCm2yr,measurement_depth_cm,survey_year,data_source,access_type,notes,is_carbon_gap,site,percent_fines,percent_oc,d13C,d15N,habitat_area_ha,min_distance_to_port_km,anthropogenic_stress_index,sea_surface_temperature_c,sea_surface_salinity_pss,buoy_temperature_c,buoy_salinity_pss,neighbor_density_15km,spatial_cluster_id,spatial_cluster_0.0,spatial_cluster_1.0,spatial_cluster_2.0,spatial_cluster_3.0,spatial_cluster_4.0,spatial_cluster_5.0,carbon_density_gCm2_final
CRD-EEL-013,CRD Eelgrass Site 13,48.430419405191245,-123.46158955613814,Salish Sea,eelgrass,mud_sand,3940.0,,25,2024,CRD Harbours Atlas (ArcGIS MapServer Layer 25),open,CRD_ATTRIBUTION: used with permission from Capital Regional District; CARBON_GAP,False,,1.92,0.4853488372093023,-20.27,4.9350000000000005,0.145566855388,6.776187302572008,0.12859772547778597,10.89306755007978,10.893302142802744,10.89306755007978,10.893302142802744,171.0,0.0,True,False,False,False,False,False,3940.0
CRD-EEL-014,CRD Eelgrass Site 14,48.43013526178735,-123.46127417609983,Salish Sea,eelgrass,mud_sand,3940.0,,25,2024,CRD Harbours Atlas (ArcGIS MapServer Layer 25),open,CRD_ATTRIBUTION: used with permission from Capital Regional District; CARBON_GAP,False,,1.92,0.4853488372093023,-20.27,4.9350000000000005,0.024954636641,6.751972692976395,0.12899942241876589,10.89306755007978,10.893302142802744,10.89306755007978,10.893302142802744,171.0,0.0,True,False,False,False,False,False,3940.0
CRD-EEL-015,CRD Eelgrass Site 15,48.42902407563126,-123.46085271255605,Salish Sea,eelgrass,mud_sand,3940.0,,25,2024,CRD Harbours Atlas (ArcGIS MapServer Layer 25),open,CRD_ATTRIBUTION: used with permission from Capital Regional District; CARBON_GAP,False,,1.92,0.4853488372093023,-20.27,4.9350000000000005,0.1810309797975,6.718550220107289,0.129558009144637,10.89306755007978,10.893302142802744,10.89306755007978,10.893302142802744,171.0,0.0,True,False,False,False,False,False,3940.0
CRD-EEL-016,CRD Eelgrass Site 16,48.42928681775898,-123.46079952611525,Salish Sea,eelgrass,mud_sand,3940.0,,25,2024,CRD Harbours Atlas (ArcGIS MapServer Layer 25),open,CRD_ATTRIBUTION: used with permission from Capital Regional District; CARBON_GAP,False,,1.92,0.4853488372093023,-20.27,4.9350000000000005,0.0459806399855,6.714974275679695,0.1296180601861954,10.89306755007978,10.893302142802744,10.89306755007978,10.893302142802744,171.0,0.0,True,False,False,False,False,False,3940.0
CRD-EEL-017,CRD Eelgrass Site 17,48.430491600330974,-123.45749993909308,Salish Sea,eelgrass,unknown,3940.0,,25,2024,CRD Harbours Atlas (ArcGIS MapServer Layer 25),open,CRD_ATTRIBUTION: used with permission from Capital Regional District; CARBON_GAP,False,,1.92,0.4853488372093023,-20.27,4.9350000000000005,0.41044854750349996,6.474897267689377,0.13378110282833597,10.89306755007978,10.893302142802744,10.89306755007978,10.893302142802744,171.0,0.0,True,False,False,False,False,False,3940.0
CRD-EEL-018,CRD Eelgrass Site 18,48.430481533856764,-123.4582174333662,Salish Sea,eelgrass,unknown,3940.0,,25,2024,CRD Harbours Atlas (ArcGIS MapServer Layer 25),open,CRD_ATTRIBUTION: used with permission from Capital Regional District; CARBON_GAP,False,,1.92,0.4853488372093023,-20.27,4.9350000000000005,0.0001687496275,6.527762744204233,0.13284159370855822,10.89306755007978,10.893302142802744,10.89306755007978,10.893302142802744,171.0,0.0,True,False,False,False,False,False,3940.0
CRD-EEL-019,CRD Eelgrass Site 19,48.430775712442426,-123.45664234709244,Salish Sea,eelgrass,unknown,3940.0,,25,2024,CRD Harbours Atlas (ArcGIS MapServer Layer 25),open,CRD_ATTRIBUTION: used with permission from Capital Regional District; CARBON_GAP,False,,1.92,0.4853488372093023,-20.27,4.9350000000000005,0.006763425875,6.41286901787209,0.13490053548619912,10.89306755007978,10.893302142802744,10.89306755007978,10.893302142802744,171.0,0.0,True,False,False,False,False,False,3940.0
CRD-EEL-020,CRD Eelgrass Site 20,48.42965083902596,-123.45909721177428,Salish Sea,eelgrass,unknown,3940.0,,25,2024,CRD Harbours Atlas (ArcGIS MapServer Layer 25),open,CRD_ATTRIBUTION: used with permission from Capital Regional District; CARBON_GAP,False,,1.92,0.4853488372093023,-20.27,4.9350000000000005,0.089591338039,6.590092059913524,0.13175070764706814,10.89306755007978,10.893302142802744,10.89306755007978,10.893302142802744,171.0,0.0,True,False,False,False,False,False,3940.0
CRD-EEL-021,CRD Eelgrass Site 21,48.43116640330684,-123.46286373853587,Salish Sea,eelgrass,mud_sand,3940.0,,25,2024,CRD Harbours Atlas (ArcGIS MapServer Layer 25),open,CRD_ATTRIBUTION: used with permission from Capital Regional District; CARBON_GAP,False,,1.92,0.4853488372093023,-20.27,4.9350000000000005,0.371446331701,6.873314577897785,0.12701131018024242,10.89306755007978,10.893302142802744,10.89306755007978,10.893302142802744,171.0,0.0,True,False,False,False,False,False,3940.0
CRD-EEL-022,CRD Eelgrass Site 22,48.43170993303229,-123.46382932228225,Salish Sea,eelgrass,mud_sand,3940.0,,25,2024,CRD Harbours Atlas (ArcGIS MapServer Layer 25),open,CRD_ATTRIBUTION: used with permission from Capital Regional District; CARBON_GAP,False,,1.92,0.4853488372093023,-20.27,4.9350000000000005,0.0682232140825,6.947389051672636,0.12582748793322712,10.89306755007978,10.893302142802744,10.89306755007978,10.893302142802744,171.0,0.0,True,False,False,False,False,False,3940.0
CRD-EEL-023,CRD Eelgrass Site 23,48.42643880707158,-123.46332340335388,Salish Sea,eelgrass,mud_sand,3940.0,,25,2024,CRD Harbours Atlas (ArcGIS MapServer Layer 25),open,CRD_ATTRIBUTION: used with permission from Capital Regional District; CARBON_GAP,False,,1.92,0.4853488372093023,-20.27,4.9350000000000005,0.12941104717149998,6.904108593687433,0.1265164804034504,10.89306755007978,10.893302142802744,10.89306755007978,10.893302142802744,171.0,0.0,True,False,False,False,False,False,3940.0
CRD-EEL-024,CRD Eelgrass Site 24,48.42435837865127,-123.46722509935276,Salish Sea,eelgrass,mud_sand,3940.0,,25,2024,CRD Harbours Atlas (ArcGIS MapServer Layer 25),open,CRD_ATTRIBUTION: used with permission from Capital Regional District; CARBON_GAP,False,,1.92,0.4853488372093023,-20.27,4.9350000000000005,0.353236614821,7.2027328914446604,0.12191058921874517,10.89306755007978,10.893302142802744,10.89306755007978,10.893302142802744,171.0,0.0,True,False,False,False,False,False,3940.0
CRD-EEL-025,CRD Eelgrass Site 25,48.42868658108532,-123.47067183413809,Salish Sea,eelgrass,mud_sand,3940.0,,25,2024,CRD Harbours Atlas (ArcGIS MapServer Layer 25),open,CRD_ATTRIBUTION: used with permission from Capital Regional District; CARBON_GAP,False,,1.92,0.4853488372093023,-20.27,4.9350000000000005,0.1641156505495,7.442774258303485,0.11844447919669272,10.89306755007978,10.893302142802744,10.89306755007978,10.893302142802744,171.0,0.0,True,False,False,False,False,False,3940.0
